timestamp,x,y,reference_x,reference_y,error,linear,angular,index,distance,state,actual_speed,actual_angular,progress
19.147,2.1356281866022604,1.6329383177299202,2.1359906243771296,1.6337728353547774,0.0009098246022445495,0.0,0.0,0,0.0,new_path,0.0002531387307004077,2.061710279960751e-05,0.0
19.187,2.135626009229944,1.6329368700427747,2.1359893215003183,1.6337734012047467,0.000912019841206678,0.2,0.06740910191006498,0,2.614717628099915e-06,tracking,0.00025313422781655546,2.0590789045338895e-05,0.0
19.247,2.1356227431511683,1.6329346988112343,2.1359873670587053,1.6337742500345955,0.0009153124333225555,0.2,0.06741854585080223,0,6.5366453393138906e-06,tracking,0.00025312747324746136,2.0551303508140173e-05,0.0
19.307,2.1360417111618846,1.63283723539913,2.136375460636664,1.6336056978451068,0.0008378085955587442,0.2,0.06699663082123722,0,0.00043669162985368896,tracking,0.01653855432817932,0.06124728573896251,0.0
19.347,2.1368913075022165,1.6326110422790254,2.137106476522922,1.6333645492507238,0.000783626482368712,0.2,0.06503075571481709,0,0.0013158828883907585,tracking,0.02840225494055376,0.0636738301447892,0.0005337023126317354
19.407,2.1390348293267882,1.6320166166727048,2.1392453325701006,1.6327537844159077,0.0007666341350760826,0.2,0.063839634327881,0,0.0035402991295347508,tracking,0.04631540301557614,0.06306776718700324,0.0018960632180572083
19.467,2.142222004689806,1.6311331278159893,2.1424254767120043,1.6318456727110155,0.000741027051628611,0.2,0.06219661927974843,0,0.00684766051809951,tracking,0.0642836378789739,0.06189741826216516,0.004842751034958331
19.507,2.144927252648574,1.630388859842222,2.145123270148533,1.6310752995179227,0.0007138783430433421,0.2,0.06120969283324698,0,0.009653422684640646,tracking,0.07624487341178267,0.06185878712923993,0.007408098176418712
19.567,2.1498571427702666,1.6290461299388261,2.1500359896200205,1.6296724391896364,0.0006513443584751924,0.2,0.05987923647581248,0,0.014762898215987794,tracking,0.09423724513691048,0.060583737257694975,0.012157017972555428
19.627,2.1558349930706315,1.627439127474309,2.1559874337098925,1.6279729640093108,0.0005551752827720859,0.2,0.05909583386061489,0,0.020952983121264705,tracking,0.11222901887914645,0.06018756926830195,0.01592314075153154
19.667,2.1604023644413837,1.626224366965555,2.160531179040086,1.6266754667468353,0.0004691313392963852,0.2,0.05806034072730375,0,0.025679136348995962,tracking,0.12418549673642655,0.05957012724222227,0.022472129013403824
