timestamp,x,y,reference_x,reference_y,error,linear,angular,index,distance,state,actual_speed,actual_angular
16.37,4.99935116151977,4.9993178932225595,4.999354494742531,4.999321879473917,5.196207641985093e-06,0.0,0.0,0,0.0,tracking,0.00025372065300479995,1.193289375545058e-05
16.43,4.999348661487186,4.99931490394059,4.999354494742531,4.999321879473917,9.093125596297462e-06,0.2,1.6325289080009012e-05,0,3.896917963263544e-06,tracking,0.0002537138452836491,1.189356349833221e-05
16.49,4.999346161355152,4.9993119150071,4.999354494742531,4.999321879473917,1.2989840035399685e-05,0.2,3.265383817294568e-05,0,7.793632424776798e-06,tracking,0.0002537070367527386,1.185421497524902e-05
16.53,4.999344494545019,4.999309922578376,4.999354494742531,4.999321879473917,1.5587536728423352e-05,0.2,3.918617148844913e-05,0,1.0391329143444389e-05,tracking,0.00025370249789999024,1.182797159982527e-05
16.59,4.999654101846225,4.999306877209353,4.999354494742531,4.999321879473917,0.0002999824736984485,0.2,7.880387467846327e-05,0,0.00032001360746454656,tracking,0.013657081461664767,-0.000996182611484881
16.65,5.001002466394167,4.999305523476824,4.999354494742531,4.999321879473917,0.0016480528156694577,0.2,0.0001354052176704966,0,0.0016683788349666096,tracking,0.03168741679964619,-0.0017222516108683092
16.69,5.002500855102711,4.99930375706549,4.999354494742531,4.999321879473917,0.0031464125504770185,0.2,0.00023517210988148232,0,0.003166768584698594,tracking,0.043690159764829,-0.0017952373062689094
16.75,5.00564847223103,4.999297748753816,4.999354494742531,4.999321879473917,0.006294023746172976,0.2,0.0003003510389672836,0,0.006314391447479093,tracking,0.061687707803652375,-0.0015236810348824145
16.81,5.0098765612028995,4.999286372618871,4.999354494742531,4.999321879473917,0.010522126369378519,0.2,0.00038902139694171726,0,0.0105424957236872,tracking,0.07967571631366373,-0.0010948517646665917
16.85,5.013295685366992,4.999275371699215,4.999354494742531,4.999321879473917,0.013941268199151372,0.2,0.00043875104563056365,0,0.013961637585282568,tracking,0.09166613619335894,-0.0007876883342308989
16.91,5.019325030432993,4.999253484722323,4.999354494742531,4.999321879473917,0.019970652808711114,0.2,0.0004979868029124082,0,0.019991022376840722,tracking,0.10964890374319111,-0.000280599305578965
16.95,5.023945008356093,4.999235346073739,4.999354494742531,4.999321879473917,0.0245906658675225,0.2,0.0005267558923651883,0,0.024611035907178228,tracking,0.1216383434726586,1.0415382416148101e-05
17.01,5.031775484914595,4.999203173571737,4.999354494742531,4.999321879473917,0.032421207485661484,0.2,0.0005561992757741375,0,0.03244157855779561,tracking,0.13962471233317203,0.0003725567460112238
17.07,5.040686387725919,4.999165740904579,4.999354494742531,4.999321879473917,0.04133218790292965,0.2,0.0005684633824325866,0,0.04135255999181435,tracking,0.15761731936099121,0.000563675277722013
17.11,5.04722712012584,4.9991383205108,4.999354494742531,4.999321879473917,0.04787297729391425,0.2,0.0005805398336295862,0,0.04789334986807364,tracking,0.16961706327242299,0.0005941136463800615
17.17,5.057938278631686,4.999094220295429,5.099354134751852,4.999053555032096,0.04141587608429859,0.2,0.0005872343102779565,1,0.05860459915871858,tracking,0.1876245434199516,0.0004639650526898197
17.23,5.06967328672051,4.999047682395239,5.099354134751852,4.999053555032096,0.029680848612320367,0.2,0.0006006050359359804,1,0.07033969952560645,tracking,0.19998636684499232,0.0002714050064127135
17.27,5.077670680795801,4.999016779555437,5.099354134751852,4.999053555032096,0.021683485141919912,0.2,0.000611529205394744,1,0.0783371533067176,tracking,0.20002685999216813,0.0006654174525329793
17.33,5.089668496106167,4.998971105507062,5.099354134751852,4.999053555032096,0.009685989567357795,0.2,0.0006021314010096479,1,0.09033505555420845,tracking,0.20003346592784446,0.0004745455198976305
17.39,5.101665885688482,4.998927514298456,5.099354134751852,4.999053555032096,0.0023151843683702116,0.2,0.0005954069864993194,1,0.10233252432821681,tracking,0.20005004567124748,8.619504918896305e-05
17.43,5.109663843068597,4.9988996116411455,5.099354134751852,4.999053555032096,0.0103108575852818,0.2,0.0006724524985266689,1,0.11033053038050324,tracking,0.20006034892212562,-7.62986217577223e-05
17.49,5.121660399736071,4.998858769281585,5.099354134751852,4.999053555032096,0.022307115435098154,0.2,0.0006893449804170865,1,0.12232715657182326,tracking,0.2000693444623317,-0.0002842644650288873
17.55,5.1336566843071445,4.998818149172086,5.099354134751852,4.999053555032096,0.0343033572979702,0.2,0.0007031674937836995,1,0.1343235099137129,tracking,0.20007120306221782,-0.00030820784160853055
17.59,5.141654170676712,4.998790703359247,5.099354134751852,4.999053555032096,0.04230085259479207,0.2,0.0007232945173119905,1,0.14232104337747892,tracking,0.20006825928628122,-0.000246304677340349
17.65,5.153650496508504,4.998748461688845,5.199353774761174,4.998785230590276,0.04570329304320462,0.2,0.0007339823123910049,2,0.15431744358009186,tracking,0.20006016071592211,-3.8439317476369354e-05
17.81,5.185642341758659,4.998627446694409,5.199353774761174,4.998785230590276,0.01371234081913951,0.2,0.0007433604553501391,2,0.18630951771008122,tracking,0.20002329550098322,0.0008101634529934221
18.05,5.232131917730318,4.998431053172971,5.199353774761174,4.998785230590276,0.03278005640856351,0.2,0.0006322187416679713,2,0.23279950850853073,tracking,0.17801785114168905,0.0027113504549988654
18.13,5.247317779081294,4.998376880649353,5.199353774761174,4.998785230590276,0.04796574256794947,0.2,0.0005607657776360282,2,0.24798546648402195,tracking,0.1997300349491237,0.0008136325725771347
18.19,5.259313185930508,4.998336381546785,5.299353414770496,4.9985169061484545,0.040040635792784635,0.2,0.0005274836542187656,3,0.25998094169993025,tracking,0.1999715533127065,0.0010204556051696563
18.25,5.271311026776512,4.998295380879403,5.299353414770496,4.9985169061484545,0.02804326296724315,0.2,0.0004946585862738805,3,0.2719788526022823,tracking,0.1999708064264367,0.0010369362445209745
18.31,5.283308896059348,4.998255618023509,5.299353414770496,4.9985169061484545,0.016046646134211598,0.2,0.0004605272293560435,3,0.28397678777516633,tracking,0.1999700480649522,0.0008533342687998515
18.35,5.291307467148563,4.998230168861365,5.299353414770496,4.9985169061484545,0.008051055297704557,0.2,0.0004407173408209879,3,0.29197539935025085,tracking,0.19996915790293307,0.0006850090787814748
18.41,5.30330529567874,4.99819371311418,5.299353414770496,4.9985169061484545,0.003965074583201005,0.2,0.00041716881461591735,3,0.3039732832662183,tracking,0.19996783588990424,0.00041310924625658825
18.47,5.315303084771181,4.9981592349243265,5.299353414770496,4.9985169061484545,0.015953679883817556,0.2,0.00042288790733239297,3,0.31597112189875026,tracking,0.19996650855687997,0.00016718874491056896
18.51,5.323301586686101,4.9981372164499165,5.299353414770496,4.9985169061484545,0.023951181648648484,0.2,0.00041593134966447167,3,0.323969654120114,tracking,0.19996567595120365,6.572689024840067e-06
18.57,5.335299299452225,4.99810533930507,5.299353414770496,4.9985169061484545,0.03594824074720081,0.2,0.0004121357667069487,3,0.3359674092339162,tracking,0.19996433609097297,-0.00019046473974809793
18.63,5.3472969611086185,4.998074383258121,5.299353414770496,4.9985169061484545,0.04794558855603042,0.2,0.00041339677673097176,3,0.3479651108262272,tracking,0.1999630894321483,-0.0003168221302575651
18.67,5.355295377623616,4.998053970002226,5.399353054779818,4.998248581706634,0.044058106973809005,0.2,0.00042458114531524616,4,0.3559635533901517,tracking,0.19996237447108717,-0.000351341248550262
18.73,5.367292975769139,4.998023244473575,5.399353054779818,4.998248581706634,0.032060870902699226,0.2,0.00043280397352823567,4,0.36796119087923995,tracking,0.19996162146443075,-0.00033502432053518976
18.79,5.3792905642959346,4.997991924708211,5.399353054779818,4.998248581706634,0.020064132107587885,0.2,0.0004372578832726075,4,0.37995882028616834,tracking,0.1999613816547567,-0.00023280631633890403
18.83,5.387288964764267,4.99797050301006,5.399353054779818,4.998248581706634,0.012067294463332967,0.2,0.00044090852183451484,4,0.3879572494407574,tracking,0.19996148411180373,-0.0001326191453121981
